book_id,title,author,genres,rating,ratings_count,publication_year,image_url,description
1,Dune,Frank Herbert,"Science Fiction, Space Opera, Classic Sci-Fi, Fantasy",4.26,1250000,1965,https://images.unsplash.com/photo-1544716278-ca5e3f4abd8c?w=500&auto=format&fit=crop&q=60,"Set on the desert planet Arrakis, Dune is the story of the boy Paul Atreides, heir to a noble family tasked with ruling an inhospitable world where the only thing of value is the spice melange, a drug capable of extending life and enhancing consciousness."
2,Dune Messiah,Frank Herbert,"Science Fiction, Space Opera, Philosophical, Classic Sci-Fi",3.92,310000,1969,https://images.unsplash.com/photo-1518709268805-4e9042af9f23?w=500&auto=format&fit=crop&q=60,"Twelve years after the events of Dune, Paul Atreides has become Emperor of the known universe, but a deadly conspiracy threatens his reign, religion, and the fate of humanity."
3,Foundation,Isaac Asimov,"Science Fiction, Space Opera, Classic Sci-Fi, Hard Sci-Fi",4.18,480000,1951,https://images.unsplash.com/photo-1451187580459-43490279c0fa?w=500&auto=format&fit=crop&q=60,"The story of Hari Seldon and his psychohistory, a mathematical science capable of predicting the behavior of mass populations, and his Foundation established to preserve human knowledge during the Galactic Empire's collapse."
4,Foundation and Empire,Isaac Asimov,"Science Fiction, Space Opera, Classic Sci-Fi, Hard Sci-Fi",4.23,210000,1952,https://images.unsplash.com/photo-1506703719100-a0f3a48c0f86?w=500&auto=format&fit=crop&q=60,"The Foundation battles the remnants of the Galactic Empire, only to face an unexpected threat: the mysterious mutant warlord known as the Mule."
5,Hyperion,Dan Simmons,"Science Fiction, Space Opera, Cyberpunk, Epic Sci-Fi",4.24,220000,1989,https://images.unsplash.com/photo-1518770660439-4636190af475?w=500&auto=format&fit=crop&q=60,"On the world called Hyperion, beyond the reach of galactic law, seven pilgrims share their interwoven tales as they journey to the mysterious Time Tombs guarded by the lethal creature called the Shrike."
6,Neuromancer,William Gibson,"Science Fiction, Cyberpunk, Dystopian, Sci-Fi",3.9,340000,1984,https://images.unsplash.com/photo-1526374965328-7f61d4dc18c5?w=500&auto=format&fit=crop&q=60,Case was the sharpest data-thief in the matrix until an ex-employer crippled his nervous system. Now a mysterious employer recruits him for a high-stakes hack against an unthinkably powerful artificial intelligence.
7,Snow Crash,Neal Stephenson,"Science Fiction, Cyberpunk, Dystopian, Satire",4.03,290000,1992,https://images.unsplash.com/photo-1508739773434-c26b3d09e071?w=500&auto=format&fit=crop&q=60,"In reality, Hiro Protagonist delivers pizza for Uncle Enzo's CosoNostra Pizza. In the Metaverse, he is a warrior prince racing to stop a computer virus capable of infecting the human brain."
8,The Martian,Andy Weir,"Science Fiction, Hard Sci-Fi, Survival, Adventure",4.41,980000,2011,https://images.unsplash.com/photo-1614728894747-a83421e2b9c9?w=500&auto=format&fit=crop&q=60,"Six days ago, astronaut Mark Watney became one of the first people to walk on Mars. Now, he's sure he'll be the first person to die there after a dust storm separates him from his crew."
9,Project Hail Mary,Andy Weir,"Science Fiction, Hard Sci-Fi, Space Exploration, Adventure",4.52,450000,2021,https://images.unsplash.com/photo-1446776811953-b23d57bd21aa?w=500&auto=format&fit=crop&q=60,"Ryland Grace is the sole survivor on a desperate, last-chance mission—and if he fails, humanity and the earth itself will perish. Except right now, he doesn't even remember his own name."
10,The Three-Body Problem,Cixin Liu,"Science Fiction, Hard Sci-Fi, Alien Invasion, Physics",4.08,320000,2008,https://images.unsplash.com/photo-1462331940025-496dfbfc7564?w=500&auto=format&fit=crop&q=60,"Set against the backdrop of China's Cultural Revolution, a secret military project sends signals into space to establish contact with aliens, leading to catastrophic consequences for Earth."
11,The Dark Forest,Cixin Liu,"Science Fiction, Hard Sci-Fi, Alien Invasion, Cosmic Horror",4.41,180000,2008,https://images.unsplash.com/photo-1509198397868-475647b2a1e5?w=500&auto=format&fit=crop&q=60,"Humanity reels from the revelation of an incoming alien invasion force, deploying Wallfacers—individuals given immense resources to craft secret defense strategies hidden from alien observation."
12,Ender's Game,Orson Scott Card,"Science Fiction, Military Sci-Fi, Classic Sci-Fi, Young Adult",4.3,1300000,1985,https://images.unsplash.com/photo-1511447333015-45b65e60f6d5?w=500&auto=format&fit=crop&q=60,"In order to develop a secure defense against a hostile alien race's next attack, government agencies breed child prodigies and train them as military commanders in zero-gravity battle simulations."
13,Do Androids Dream of Electric Sheep?,Philip K. Dick,"Science Fiction, Cyberpunk, Dystopian, Philosophy",4.09,460000,1968,https://images.unsplash.com/photo-1485827404703-89b55fcc595e?w=500&auto=format&fit=crop&q=60,"By 2021, the World War has killed millions, driving entire species into extinction. Bounty hunter Rick Deckard stalks rogue Nexus-6 androids through the radioactive ruins of San Francisco."
14,Solaris,Stanislaw Lem,"Science Fiction, Philosophical, Psychological Sci-Fi, Classic Sci-Fi",4.0,120000,1961,https://images.unsplash.com/photo-1507668077129-56e32842fceb?w=500&auto=format&fit=crop&q=60,"Psychologist Kris Kelvin arrives on a space station studying the living plasma ocean of Solaris, discovering that the planet is capable of dredging up humans' deepest suppressed memories and manifesting them physically."
15,The Left Hand of Darkness,Ursula K. Le Guin,"Science Fiction, Classic Sci-Fi, Feminist Sci-Fi, Sociology",4.08,190000,1969,https://images.unsplash.com/photo-1483728642387-6c3bdd6c93e5?w=500&auto=format&fit=crop&q=60,"A human envoy called Genly Ai is sent to Gethen, an icy world whose inhabitants can choose and change their gender, exploring themes of psychology, sociology, politics, and humanity."
16,Fahrenheit 451,Ray Bradbury,"Science Fiction, Dystopian, Classic, Literature",3.99,1980000,1953,https://images.unsplash.com/photo-1497633762265-9d179a990aa6?w=500&auto=format&fit=crop&q=60,"Guy Montag is a fireman whose job is to burn books, which are forbidden by law. But when he meets an eccentric young neighbor, he begins questioning everything he has been taught."
17,Brave New World,Aldous Huxley,"Science Fiction, Dystopian, Classic, Philosophy",3.99,1850000,1932,https://images.unsplash.com/photo-1457369804613-52c61a468e7d?w=500&auto=format&fit=crop&q=60,"A dark vision of a futuristic society governed by consumerism, genetic caste engineering, and psychological conditioning where pain and sorrow are eradicated by the drug soma."
20,The Hobbit,J.R.R. Tolkien,"Fantasy, High Fantasy, Adventure, Classic",4.29,3400000,1937,https://images.unsplash.com/photo-1512820790803-83ca734da794?w=500&auto=format&fit=crop&q=60,"Bilbo Baggins, a comfortable and unambitious hobbit, is swept away on a dangerous quest by the wizard Gandalf and thirteen dwarves to reclaim the Lonely Mountain and its treasure from the dragon Smaug."
21,The Fellowship of the Ring,J.R.R. Tolkien,"Fantasy, High Fantasy, Epic Fantasy, Classic",4.38,2600000,1954,https://images.unsplash.com/photo-1463320726281-696a485928c7?w=500&auto=format&fit=crop&q=60,"Frodo Baggins inherits the One Ring of Power forged by the Dark Lord Sauron. To save Middle-earth from darkness, Frodo and a fellowship of companions must embark on a treacherous journey to destroy it in Mount Doom."
22,The Two Towers,J.R.R. Tolkien,"Fantasy, High Fantasy, Epic Fantasy, Classic",4.46,1800000,1954,https://images.unsplash.com/photo-1514894780887-121968d00567?w=500&auto=format&fit=crop&q=60,"The Fellowship is scattered across Middle-earth. Aragorn, Legolas, and Gimli rally the kingdoms of men against Saruman's armies, while Frodo and Sam guided by Gollum trek toward Mordor."
23,The Return of the King,J.R.R. Tolkien,"Fantasy, High Fantasy, Epic Fantasy, Classic",4.54,1900000,1955,https://images.unsplash.com/photo-1534447677768-be436bb09401?w=500&auto=format&fit=crop&q=60,The climactic war for Middle-earth reaches its peak at the Battle of the Pelennor Fields as Frodo and Sam navigate the horrors of Mordor to cast the Ring into the fire.
24,The Name of the Wind,Patrick Rothfuss,"Fantasy, High Fantasy, Magic, Epic Fantasy",4.51,820000,2007,https://images.unsplash.com/photo-1532012164546-f432f2e3edd3?w=500&auto=format&fit=crop&q=60,"The tale of Kvothe, from his childhood in a troupe of traveling players to his years as a near-feral orphan in a crime-riddled city, to his daring brazen entrance into a legendary school of high magic."
26,The Way of Kings,Brandon Sanderson,"Fantasy, Epic Fantasy, High Fantasy, Magic System",4.66,410000,2010,https://images.unsplash.com/photo-1516541196182-6bdb0516ed27?w=500&auto=format&fit=crop&q=60,"Roshar is a world of stone and storms. Centuries have passed since the fall of the ten consecrated orders known as the Knights Radiant, but their Shardblades and Shardplate remain, coveted weapons in endless war."
27,Words of Radiance,Brandon Sanderson,"Fantasy, Epic Fantasy, High Fantasy, Magic System",4.76,310000,2014,https://images.unsplash.com/photo-1519791883288-dc8bd696e667?w=500&auto=format&fit=crop&q=60,"Kaladin must protect the king while mastering the powers of a Windrunner, Shallan strives to prevent the return of the Voidbringers, and the Parshendi gamble everything on a forbidden magic."
28,Mistborn: The Final Empire,Brandon Sanderson,"Fantasy, High Fantasy, Heist, Magic System",4.47,620000,2006,https://images.unsplash.com/photo-1500485035595-cbe6f645feb1?w=500&auto=format&fit=crop&q=60,"In a world where ash falls from the sky and mist dominates the night, a charismatic thief named Kelsier recruits an orphan named Vin into a crew planning the impossible: overthrowing the immortal Lord Ruler."
30,A Game of Thrones,George R.R. Martin,"Fantasy, Epic Fantasy, Dark Fantasy, Political Drama",4.44,2400000,1996,https://images.unsplash.com/photo-1518709268805-4e9042af9f23?w=500&auto=format&fit=crop&q=60,Summers span decades and winter can last a lifetime. Noble houses clash in a bitter struggle for the Iron Throne of Westeros while an ancient menace stirs in the frozen north.
35,The Girl with the Dragon Tattoo,Stieg Larsson,"Mystery, Thriller, Crime, Scandinavian Noir",4.16,2900000,2005,https://images.unsplash.com/photo-1589829085413-56de8ae18c73?w=500&auto=format&fit=crop&q=60,"Disgraced journalist Mikael Blomkvist and brilliant, rebellious computer hacker Lisbeth Salander investigate the forty-year-old disappearance of Harriet Vanger from a wealthy Swedish dynasty."
37,Gone Girl,Gillian Flynn,"Mystery, Psychological Thriller, Crime, Suspense",4.12,2700000,2012,https://images.unsplash.com/photo-1509198397868-475647b2a1e5?w=500&auto=format&fit=crop&q=60,"On the morning of their fifth wedding anniversary, Amy Dunne suddenly disappears. Under intense police pressure and media frenzy, her husband Nick becomes the primary suspect in a maze of deception."
39,The Silent Patient,Alex Michaelides,"Psychological Thriller, Mystery, Suspense, Crime",4.18,1400000,2019,https://images.unsplash.com/photo-1507668077129-56e32842fceb?w=500&auto=format&fit=crop&q=60,Alicia Berenson's life is seemingly perfect. One evening she shoots her husband five times in the face and never speaks another word. Psychotherapist Theo Faber is determined to unravel her secret.
40,And Then There Were None,Agatha Christie,"Mystery, Classic Mystery, Whodunit, Crime",4.29,1100000,1939,https://images.unsplash.com/photo-1512820790803-83ca734da794?w=500&auto=format&fit=crop&q=60,"Ten strangers are lured to an isolated island mansion off the Devon coast by a mysterious host. One by one, they are marked for death according to a sinister nursery rhyme."
47,To Kill a Mockingbird,Harper Lee,"Classic, Historical Fiction, Literature, Legal Drama",4.26,5200000,1960,https://images.unsplash.com/photo-1544716278-ca5e3f4abd8c?w=500&auto=format&fit=crop&q=60,"Set in the American South during the Depression, young Scout Finch watches her father Atticus defend a Black man falsely accused of raping a white woman, examining racism and morality."
48,The Great Gatsby,F. Scott Fitzgerald,"Classic, Literature, Historical Fiction, Romance",3.93,4800000,1925,https://images.unsplash.com/photo-1457369804613-52c61a468e7d?w=500&auto=format&fit=crop&q=60,"The tragic story of Jay Gatsby, a mysterious millionaire with an obsession for the beautiful Daisy Buchanan, exploring the decadence and disillusionment of the Jazz Age."
49,Pride and Prejudice,Jane Austen,"Classic, Romance, Literature, Historical Fiction",4.28,3900000,1813,https://images.unsplash.com/photo-1516979187457-637abb4f9353?w=500&auto=format&fit=crop&q=60,"Elizabeth Bennet navigates manners, social hierarchy, and matrimony in 19th-century England, clashing with the proud and enigmatic aristocrat Mr. Darcy."
52,One Hundred Years of Solitude,Gabriel Garcia Marquez,"Magical Realism, Classic, Literature, Epic",4.11,920000,1967,https://images.unsplash.com/photo-1512820790803-83ca734da794?w=500&auto=format&fit=crop&q=60,"The multi-generational story of the Buendia family in the mythical Colombian town of Macondo, blending historical reality with wondrous supernatural and magical realism."
53,The Catcher in the Rye,J.D. Salinger,"Classic, Literature, Coming-of-Age, Fiction",3.8,3200000,1951,https://images.unsplash.com/photo-1544716278-ca5e3f4abd8c?w=500&auto=format&fit=crop&q=60,"Holden Caulfield wanders New York City for three days after being expelled from prep school, venting his frustrations about phoniness, alienation, and lost childhood innocence."
54,The Picture of Dorian Gray,Oscar Wilde,"Classic, Gothic, Philosophical, Literature",4.12,1300000,1890,https://images.unsplash.com/photo-1509198397868-475647b2a1e5?w=500&auto=format&fit=crop&q=60,"Enthralled by his own youth and beauty, Dorian Gray sells his soul so that his portrait ages and bears the scars of his sins while he remains outwardly ageless and pure."
55,Frankenstein,Mary Shelley,"Classic, Gothic Horror, Science Fiction, Literature",3.86,1400000,1818,https://images.unsplash.com/photo-1518770660439-4636190af475?w=500&auto=format&fit=crop&q=60,"Victor Frankenstein breathes life into a creature made of scavenged corpse parts, only to be horrified by what he created as the creature seeks vengeance for abandonment."
70,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Non-Fiction, History, Anthropology, Science, Philosophy",4.37,1600000,2011,https://images.unsplash.com/photo-1457369804613-52c61a468e7d?w=500&auto=format&fit=crop&q=60,"From the cognitive revolution seventy thousand years ago to the genetic engineering revolution today, Harari explores how biology and history have defined what it means to be human."
72,Atomic Habits,James Clear,"Self-Help, Psychology, Productivity, Non-Fiction, Personal Growth",4.39,2100000,2018,https://images.unsplash.com/photo-1544716278-ca5e3f4abd8c?w=500&auto=format&fit=crop&q=60,"A comprehensive framework for improving every day. James Clear reveals how minute changes compound into remarkable results through habit loops, cues, craving, and environmental design."
74,"Thinking, Fast and Slow",Daniel Kahneman,"Psychology, Non-Fiction, Behavioral Economics, Science",4.19,680000,2011,https://images.unsplash.com/photo-1507668077129-56e32842fceb?w=500&auto=format&fit=crop&q=60,"Nobel laureate Daniel Kahneman explains the two systems that drive the way we think: System 1 (fast, intuitive, and emotional) and System 2 (slower, more deliberative, and more logical)."
77,Meditations,Marcus Aurelius,"Philosophy, Stoicism, Classic, Non-Fiction",4.27,420000,180,https://images.unsplash.com/photo-1463320726281-696a485928c7?w=500&auto=format&fit=crop&q=60,"The private journal entries of the Roman Emperor Marcus Aurelius, offering timeless Stoic reflections on duty, mortality, resilience, and inner tranquility."
